ID,Sex,Age,Height,Weight,Country,Year,Sport,Medal
94978,M,22,201,92,Germany,1992,Swimming,NA
95014,M,36,177,67,Italy,2012,Cycling,NA
95060,F,24,170,56,Germany,2016,Athletics,NA
95087,F,27,164,61,Canada,1968,Athletics,NA
95097,M,22,187,82,Australia,2004,Swimming,NA
95097,M,22,187,82,Australia,2004,Swimming,NA
95192,F,27,188,125,Russia,2012,Athletics,Silver
95226,F,37,173,53,France,2004,Cycling,NA
95258,F,17,180,82,Australia,2000,Athletics,NA
95294,M,21,187,68,Italy,2008,Swimming,NA
95294,M,25,187,68,Italy,2012,Swimming,NA
95313,M,21,190,79,USA,1992,Athletics,NA
95488,M,28,186,110,Germany,1984,Athletics,Bronze
95529,F,30,162,50,USA,1992,Athletics,NA
95533,M,19,193,75,Australia,1988,Swimming,NA
95580,M,27,183,114,Italy,1976,Athletics,NA
95588,F,18,170,60,Italy,1972,Swimming,NA
95604,M,24,183,76,Germany,1968,Cycling,Silver
95646,F,25,174,66,Germany,2008,Swimming,NA
95683,M,27,183,73,Germany,1956,Athletics,Bronze
95685,M,22,200,88,Germany,2000,Swimming,NA
95816,M,25,180,78,Italy,1988,Cycling,NA
95847,F,17,176,63,Germany,1980,Swimming,Silver
95876,F,21,179,78,Germany,1972,Athletics,Bronze
95904,F,20,168,55,Germany,1964,Athletics,NA
95956,F,25,164,55,Russia,2008,Athletics,NA
95993,M,15,171,68,France,1960,Swimming,NA
95996,F,23,169,63,Russia,1988,Athletics,Bronze
96074,M,19,180,84,Canada,1984,Swimming,NA
96074,M,27,180,84,Canada,1992,Swimming,NA
96158,M,21,185,80,Russia,2016,Swimming,NA
96173,M,20,200,87,Russia,1992,Swimming,Silver
96184,M,41,175,72,Russia,1952,Athletics,NA
96194,F,32,162,53,Russia,1964,Athletics,NA
96203,F,21,182,68,Russia,2012,Swimming,NA
96203,F,25,182,68,Russia,2016,Swimming,NA
96315,M,30,183,86,USA,2016,Athletics,NA
96327,M,19,180,65,France,1948,Athletics,NA
96327,M,22,180,65,France,1952,Athletics,NA
96399,F,21,158,58,USA,2012,Cycling,NA
96409,M,20,186,81,Italy,1992,Swimming,NA
96426,M,20,191,79,Germany,1988,Swimming,NA
96443,M,26,187,80,Russia,1988,Athletics,NA
96604,M,27,185,110,Italy,2012,Athletics,NA
96637,F,19,183,79,USA,1996,Athletics,NA
96639,F,26,163,64,Canada,2008,Athletics,NA
96644,M,28,170,63,Australia,1956,Athletics,NA
96822,M,21,175,63,USA,1972,Athletics,NA
96880,F,21,168,75,Russia,1960,Athletics,Gold
96934,M,24,190,80,UK,1976,Athletics,NA
96938,F,23,173,100,USA,2016,Athletics,NA
96951,F,28,168,56,Australia,2000,Athletics,NA
96969,F,22,161,56,Germany,2016,Cycling,NA
96994,M,27,180,75,Russia,1992,Swimming,Silver
97006,M,20,188,82,Russia,2004,Swimming,NA
97061,M,22,185,72,USA,1912,Athletics,NA
97072,F,27,174,64,Russia,1996,Athletics,NA
97072,F,31,174,64,Russia,2000,Athletics,Gold
97120,F,27,173,60,UK,2016,Athletics,NA
97147,F,26,171,60,Russia,2004,Athletics,NA
97287,F,19,168,60,France,1988,Swimming,NA
97388,M,23,190,88,Russia,1980,Athletics,Bronze
97556,M,26,183,72,Italy,1972,Athletics,NA
97656,F,17,181,65,France,2004,Swimming,NA
97718,M,22,194,89,Russia,1992,Swimming,Gold
97752,F,23,177,68,China,2008,Swimming,NA
97814,F,21,172,64,USA,1996,Swimming,NA
97837,M,34,183,88,UK,2004,Cycling,NA
97854,M,22,183,74,France,1988,Athletics,NA
97861,M,30,190,75,France,1992,Athletics,NA
97953,F,20,163,49,Italy,1984,Swimming,NA
97954,F,21,175,74,Italy,1980,Athletics,NA
97975,M,25,180,80,France,1972,Cycling,NA
97982,F,17,173,63,Canada,1976,Swimming,NA
97982,F,17,173,63,Canada,1976,Swimming,NA
98116,F,34,173,54,UK,2008,Athletics,NA
98143,M,20,180,61,UK,1960,Athletics,NA
98143,M,25,180,61,UK,1964,Athletics,NA
98174,M,20,180,76,UK,1906,Swimming,NA
98176,F,20,170,59,UK,1972,Swimming,NA
98177,M,27,186,105,Italy,1960,Athletics,NA
98269,M,25,167,61,Germany,1936,Athletics,NA
98290,F,14,151,50,Canada,1972,Swimming,NA
98322,M,24,166,66,France,1906,Athletics,NA
98322,M,26,166,66,France,1908,Athletics,NA
98756,M,23,185,75,UK,1932,Athletics,NA
98861,M,20,174,65,UK,1924,Athletics,Silver
98928,M,26,174,69,France,1992,Athletics,NA
98933,M,23,193,85,Germany,2012,Swimming,NA
98933,M,23,193,85,Germany,2012,Swimming,NA
99089,F,16,169,68,UK,1968,Swimming,NA
99089,F,20,169,68,UK,1972,Swimming,NA
99146,M,22,178,67,Germany,1912,Athletics,NA
99358,F,23,170,79,UK,2012,Cycling,NA
99373,M,19,172,69,France,1960,Cycling,NA
99375,M,20,177,70,USA,1956,Athletics,NA
99386,M,36,172,67,Italy,2008,Cycling,NA
99401,M,23,182,75,France,1976,Cycling,NA
99470,F,20,181,62,Germany,1984,Athletics,NA
99515,M,25,187,89,Australia,1952,Athletics,NA
99516,F,30,170,77,USA,2008,Cycling,NA
99516,F,34,170,77,USA,2012,Cycling,Silver
99560,F,20,166,58,France,1976,Athletics,NA
99583,M,21,181,98,UK,1988,Athletics,NA
99668,F,29,182,90,Germany,1988,Athletics,NA
99692,M,20,177,73,UK,1984,Athletics,NA
99805,F,15,178,66,Germany,1980,Swimming,Gold
99851,M,20,193,112,Australia,1988,Athletics,NA
99861,M,20,186,73,UK,1980,Athletics,NA
99929,F,21,160,56,China,1996,Athletics,NA
99945,M,19,185,75,Canada,1996,Swimming,NA
99958,F,25,167,53,USA,1972,Athletics,NA
99961,F,24,162,54,Australia,1972,Athletics,NA
99988,F,29,173,75,Germany,1996,Athletics,NA
100016,M,21,180,70,Australia,2008,Athletics,NA
100017,M,21,179,74,Australia,2004,Cycling,NA
100032,M,24,184,80,UK,2012,Swimming,NA
100091,F,29,171,63,Russia,1996,Athletics,NA
100140,M,24,176,76,Germany,2012,Athletics,NA
100140,M,28,176,76,Germany,2016,Athletics,NA
100313,M,20,183,75,USA,1952,Cycling,NA
100313,M,24,183,75,USA,1956,Cycling,NA
100313,M,24,183,75,USA,1956,Cycling,NA
100381,M,23,178,65,Italy,1984,Athletics,NA
100431,F,22,174,60,France,1996,Swimming,NA
100431,F,22,174,60,France,1996,Swimming,NA
100455,F,20,176,67,Australia,2008,Swimming,Gold
100455,F,24,176,67,Australia,2012,Swimming,NA
100460,M,26,187,82,Germany,1996,Cycling,NA
100480,M,26,178,75,USA,1952,Athletics,Gold
100516,F,23,173,62,USA,2008,Athletics,Bronze
100547,F,24,171,62,UK,1996,Athletics,NA
100560,F,19,178,66,Canada,1996,Swimming,NA
100565,F,19,172,59,Canada,1984,Athletics,Silver
100565,F,27,172,59,Canada,1992,Athletics,NA
100577,F,30,171,64,Germany,1968,Athletics,NA
100596,F,25,167,53,Germany,1976,Athletics,Gold
100596,F,25,167,53,Germany,1976,Athletics,Silver
100601,M,27,190,85,Germany,1992,Swimming,NA
100622,F,17,173,66,Germany,1976,Swimming,Gold
100658,M,29,183,75,UK,1996,Athletics,NA
100669,M,22,188,89,Germany,1960,Athletics,NA
100682,M,33,199,110,Germany,2000,Athletics,Silver
100730,M,21,187,112,Germany,1972,Athletics,NA
100796,F,32,168,50,UK,1996,Athletics,NA
100928,F,17,172,65,Germany,1980,Swimming,NA
100982,M,25,183,80,Italy,2008,Athletics,NA
101045,F,28,178,87,UK,1980,Athletics,NA
101161,F,27,174,75,Australia,1980,Athletics,NA
101177,M,27,174,68,Italy,1932,Athletics,NA
101177,M,31,174,68,Italy,1936,Athletics,NA
101273,F,33,180,85,France,2012,Athletics,NA
101280,M,24,173,70,UK,1936,Athletics,NA
101287,M,24,188,81,USA,1976,Athletics,Bronze
101341,M,19,178,70,Canada,1972,Swimming,NA
101341,M,19,178,70,Canada,1972,Swimming,NA
101341,M,23,178,70,Canada,1976,Swimming,NA
101364,M,20,183,68,USA,1904,Athletics,Bronze
101364,M,22,183,68,USA,1906,Athletics,Bronze
101364,M,24,183,68,USA,1908,Athletics,NA
101389,F,27,175,61,Australia,1980,Athletics,NA
101396,M,19,178,73,USA,1964,Swimming,Silver
101408,M,23,187,84,USA,1988,Athletics,NA
101414,F,21,178,71,USA,1948,Athletics,NA
101415,F,16,167,57,USA,1928,Athletics,Gold
101518,M,18,191,80,USA,1976,Swimming,Silver
101580,M,21,178,79,UK,2008,Swimming,NA
101634,M,27,183,127,Canada,2012,Athletics,NA
101878,M,27,188,80,UK,2012,Swimming,NA
101963,F,20,171,65,USA,1960,Athletics,NA
101971,M,24,183,73,USA,1984,Cycling,NA
102028,F,17,167,63,Germany,2004,Swimming,NA
102039,M,20,193,81,Germany,1912,Athletics,NA
102135,F,30,180,98,UK,2008,Athletics,NA
102144,M,28,173,64,USA,1920,Athletics,NA
102160,F,25,168,58,Canada,2000,Swimming,NA
102172,M,22,195,83,UK,1992,Swimming,NA
102187,F,18,168,62,UK,1996,Swimming,NA
102187,F,22,168,62,UK,2000,Swimming,NA
102197,F,29,163,47,Italy,2012,Athletics,NA
102229,M,22,180,78,Italy,1956,Swimming,NA
102229,M,26,180,78,Italy,1960,Swimming,NA
102270,F,24,166,60,Russia,2012,Cycling,NA
102273,M,27,187,77,France,1996,Athletics,NA
102278,F,23,173,84,Russia,1952,Athletics,Gold
102278,F,35,173,84,Russia,1964,Athletics,NA
102335,F,28,182,73,UK,2008,Cycling,NA
102389,F,17,166,59,Italy,1976,Swimming,NA
102439,M,21,198,81,UK,2008,Athletics,NA
102439,M,25,198,81,UK,2012,Athletics,NA
102487,M,19,182,83,Italy,1964,Swimming,NA
102599,F,25,174,69,Germany,1972,Athletics,Gold
102603,F,23,169,61,Canada,1928,Athletics,NA
102613,M,19,177,62,Germany,1972,Swimming,NA
102682,M,24,170,60,USA,1948,Athletics,NA
102696,M,23,185,83,Australia,2004,Athletics,NA
102781,F,22,181,53,Italy,2016,Athletics,NA
102813,M,19,188,75,France,2000,Swimming,NA
102813,M,23,188,75,France,2004,Swimming,NA
102813,M,27,188,75,France,2008,Swimming,NA
102835,M,28,167,54,USA,1920,Athletics,NA
102861,M,28,185,118,Germany,1972,Athletics,NA
102864,M,20,170,70,Germany,1968,Swimming,NA
102959,M,25,182,70,France,1996,Cycling,NA
102971,M,22,182,84,France,1996,Cycling,Gold
102971,M,26,182,84,France,2000,Cycling,Gold
102974,F,20,175,63,France,2008,Swimming,NA
102977,M,27,181,77,France,1976,Swimming,NA
103025,F,27,166,52,USA,2012,Athletics,NA
103026,M,24,187,100,UK,1960,Athletics,NA
103047,M,23,178,71,Australia,1900,Athletics,Bronze
103228,M,24,190,80,Germany,1964,Athletics,NA
103289,F,22,176,55,USA,1996,Athletics,NA
103325,F,23,166,54,Canada,1984,Athletics,NA
103511,F,35,170,60,USA,2004,Athletics,NA
103532,M,23,182,78,Germany,2000,Swimming,NA
103532,M,23,182,78,Germany,2000,Swimming,NA
103532,M,23,182,78,Germany,2000,Swimming,Bronze
103560,M,27,168,51,UK,1992,Athletics,NA
103588,F,18,180,62,Germany,1988,Swimming,NA
103605,M,24,193,85,Canada,2008,Swimming,NA
103631,M,29,206,122,Canada,2008,Athletics,NA
103709,M,25,170,58,Australia,2012,Athletics,NA
103747,F,28,173,58,Russia,1992,Athletics,Gold
103758,F,27,190,95,Russia,2004,Athletics,NA
103762,M,24,180,72,Russia,1992,Cycling,NA
103800,F,23,173,65,Australia,2000,Swimming,NA
103877,M,19,184,69,Russia,2016,Swimming,NA
103917,M,25,188,76,USA,1972,Athletics,NA
103972,M,19,188,86,USA,1964,Swimming,NA
104086,M,20,185,78,Italy,1988,Swimming,NA
104158,F,32,180,95,Russia,2004,Athletics,Gold
104165,F,23,171,56,Canada,1976,Athletics,NA
104271,M,23,173,73,USA,1928,Athletics,NA
104377,F,22,167,56,Germany,2008,Athletics,NA
104377,F,26,167,56,Germany,2012,Athletics,NA
104386,F,14,162,53,Italy,1960,Swimming,NA
104430,M,26,166,56,Japan,1968,Athletics,NA
104470,M,20,177,70,Japan,1984,Swimming,NA
104470,M,20,177,70,Japan,1984,Swimming,NA
104487,F,15,172,63,Japan,2016,Swimming,NA
104503,M,24,180,70,Japan,1984,Swimming,NA
104842,M,30,183,88,Germany,1968,Athletics,NA
104872,M,20,182,77,UK,1996,Swimming,NA
104909,F,33,167,55,France,2008,Cycling,NA
104925,M,29,172,58,Germany,1984,Athletics,NA
105010,F,30,168,54,Russia,1992,Athletics,NA
105015,M,23,183,107,Russia,1956,Athletics,Bronze
105042,M,19,187,80,Russia,1972,Swimming,NA
105057,F,17,171,63,UK,1960,Swimming,NA
105060,F,24,182,82,Australia,2012,Athletics,NA
105065,M,23,188,80,UK,1988,Athletics,NA
105083,F,24,172,62,Germany,2008,Swimming,NA
105244,M,23,173,66,France,1976,Athletics,NA
105310,F,27,165,69,Germany,1952,Athletics,Bronze
105496,M,23,178,68,Japan,1992,Athletics,NA
105535,F,19,177,61,France,2012,Swimming,NA
105535,F,23,177,61,France,2016,Swimming,NA
105597,F,31,163,48,Italy,2016,Athletics,NA
105666,M,23,188,82,Italy,2012,Swimming,NA
105690,M,25,174,73,Russia,1968,Athletics,NA
105707,M,18,178,72,Russia,1992,Cycling,NA
105997,M,21,168,65,Japan,1984,Cycling,NA
105999,M,21,166,66,Japan,1964,Cycling,NA
106016,M,24,175,62,Japan,2004,Athletics,NA
106050,F,22,159,55,Japan,1960,Swimming,NA
106120,M,24,183,68,Canada,1976,Athletics,NA
106120,M,32,183,68,Canada,1984,Athletics,NA
106188,F,19,167,54,Canada,2012,Swimming,NA
106196,M,23,176,76,Russia,1972,Athletics,NA
106219,F,21,164,57,Russia,1968,Swimming,NA
106266,M,20,187,82,France,1980,Swimming,NA
106279,M,21,193,87,Russia,1992,Swimming,NA
106364,M,25,193,88,Canada,2004,Swimming,NA
106381,F,30,173,70,UK,2012,Athletics,NA
106440,M,23,189,67,Australia,1984,Athletics,NA
106461,M,19,178,66,Australia,1980,Cycling,NA
106463,M,22,190,76,Italy,2004,Swimming,NA
106481,M,24,183,63,Italy,2016,Cycling,NA
106505,F,27,172,59,Germany,1988,Athletics,NA
106520,M,34,179,65,Germany,1956,Athletics,NA
106520,M,34,179,65,Germany,1956,Athletics,NA
106652,M,27,185,70,Germany,1936,Athletics,NA
106711,M,25,182,75,Germany,1984,Cycling,NA
106726,M,23,200,93,Germany,1988,Athletics,Gold
106782,F,14,170,61,France,1972,Swimming,NA
106906,F,21,170,60,Australia,2008,Swimming,Bronze
106938,F,25,176,65,Australia,2012,Swimming,Gold
106976,F,21,185,67,Germany,1988,Swimming,NA
106991,M,22,178,64,Germany,1928,Athletics,NA
107080,F,18,173,66,Germany,1980,Swimming,Bronze
107103,F,15,172,60,Germany,1960,Swimming,NA
107103,F,19,172,60,Germany,1964,Swimming,NA
107130,M,25,178,69,Germany,1928,Athletics,NA
107155,F,17,174,62,Germany,1968,Athletics,NA
107155,F,25,174,62,Germany,1976,Athletics,NA
107196,M,21,179,67,Germany,1964,Athletics,NA
107207,M,22,184,74,Germany,1984,Athletics,NA
107225,F,19,164,55,Germany,1968,Swimming,NA
107225,F,19,164,55,Germany,1968,Swimming,Silver
107287,F,17,172,60,Germany,1980,Swimming,Gold
107294,M,23,185,83,Germany,2012,Athletics,NA
107347,M,21,178,79,France,1932,Swimming,NA
107349,M,26,187,80,France,1968,Athletics,NA
107372,F,19,180,93,Germany,1976,Athletics,NA
107376,M,21,191,79,USA,1952,Swimming,Gold
107383,M,18,180,79,USA,1964,Swimming,Gold
107383,M,22,180,79,USA,1968,Swimming,Silver
107388,F,17,182,69,Germany,1996,Swimming,Silver
107402,M,21,173,70,USA,1988,Cycling,NA
107428,M,26,185,74,Germany,1992,Athletics,NA
107432,M,24,167,55,Germany,1936,Athletics,NA
107467,M,26,187,80,France,1996,Swimming,NA
107597,F,24,172,78,Germany,1960,Athletics,NA
107643,M,40,193,110,Germany,2000,Athletics,NA
107650,F,26,170,54,Germany,1984,Athletics,Bronze
107665,M,29,201,99,Germany,2004,Athletics,NA
107712,M,22,193,90,USA,1996,Swimming,Gold
107728,M,28,179,76,Germany,1964,Athletics,NA
107746,M,25,175,73,Germany,1956,Cycling,NA
107746,M,29,175,73,Germany,1960,Cycling,Silver
107872,M,31,181,70,Germany,1972,Athletics,NA
107966,M,19,184,77,Australia,2016,Cycling,Silver
107993,M,19,190,72,UK,2016,Swimming,Silver
108005,F,21,174,53,USA,1968,Athletics,NA
108008,M,31,206,93,USA,2012,Athletics,NA
108024,M,32,186,73,USA,1988,Athletics,NA
108084,M,32,175,64,USA,2004,Athletics,NA
108198,F,24,180,70,Australia,2016,Swimming,NA
108211,F,15,166,54,Canada,2008,Swimming,NA
108224,M,21,190,82,USA,1936,Athletics,NA
108225,M,25,174,68,Australia,1976,Cycling,NA
108321,F,23,166,55,Germany,1972,Athletics,Gold
108321,F,23,166,55,Germany,1972,Athletics,NA
108400,F,20,156,43,Japan,2016,Athletics,NA
108468,M,21,188,75,Russia,1992,Swimming,Silver
108468,M,21,188,75,Russia,1992,Swimming,Silver
108468,M,25,188,75,Russia,1996,Swimming,NA
108481,M,25,176,62,Russia,1980,Athletics,NA
108493,F,21,170,65,Canada,2016,Swimming,NA
108499,M,26,169,64,Italy,1984,Athletics,NA
108519,M,21,180,87,Russia,1964,Swimming,NA
108526,M,22,180,80,Russia,1972,Cycling,Gold
108723,F,22,174,62,Germany,1952,Athletics,NA
108789,M,18,181,73,Russia,1976,Swimming,NA
108809,F,25,157,45,France,1988,Athletics,NA
108829,M,27,190,73,Russia,1992,Athletics,NA
108920,M,24,169,60,France,2000,Athletics,NA
109009,F,18,180,68,UK,2000,Swimming,NA
109058,M,27,181,110,Italy,1992,Athletics,NA
109158,F,19,175,66,Canada,1996,Swimming,NA
109210,F,17,172,67,China,1996,Swimming,NA
109241,M,26,183,75,Russia,2000,Cycling,NA
109322,M,20,183,68,USA,1992,Swimming,NA
109325,M,28,182,76,USA,1960,Athletics,NA
109327,M,21,178,73,Canada,2012,Swimming,NA
109339,M,22,180,78,Russia,1972,Swimming,NA
109343,F,21,168,65,Russia,1960,Athletics,NA
109384,F,32,171,91,UK,2000,Athletics,NA
109389,M,18,188,89,USA,1976,Swimming,Gold
109526,M,16,186,71,Russia,1980,Swimming,Silver
109533,F,19,180,72,China,2016,Swimming,NA
109536,M,18,183,85,China,1984,Swimming,NA
109536,M,18,183,85,China,1984,Swimming,NA
109536,M,23,183,85,China,1988,Swimming,NA
109575,M,22,183,74,Canada,1960,Athletics,NA
109578,F,24,157,47,UK,1948,Athletics,NA
109585,F,15,176,65,UK,1988,Swimming,NA
109585,F,23,176,65,UK,1996,Swimming,NA
109585,F,27,176,65,UK,2000,Swimming,NA
109585,F,27,176,65,UK,2000,Swimming,NA
109587,M,24,177,67,USA,1908,Athletics,Gold
109587,M,28,177,67,USA,1912,Athletics,NA
109597,M,25,190,88,USA,1906,Athletics,NA
109597,M,25,190,88,USA,1906,Athletics,NA
109597,M,25,190,88,USA,1906,Athletics,Silver
109597,M,25,190,88,USA,1906,Athletics,Silver
109597,M,27,190,88,USA,1908,Athletics,NA
109607,M,20,185,75,USA,1908,Athletics,NA
109624,M,18,180,76,Canada,1964,Swimming,NA
109634,M,27,187,83,UK,1972,Athletics,NA
109668,M,20,191,75,China,2004,Athletics,NA
109668,M,24,191,75,China,2008,Athletics,NA
109680,F,27,160,50,China,2008,Athletics,NA
109696,M,25,172,65,Japan,1960,Athletics,NA
109781,M,21,172,60,Japan,1960,Swimming,NA
109785,F,25,164,45,Japan,1996,Athletics,NA
109790,F,24,156,50,Japan,2016,Swimming,NA
109842,F,19,164,60,Japan,1932,Athletics,NA
109885,F,21,164,56,UK,1960,Athletics,Silver
109886,M,31,180,70,UK,1960,Athletics,NA
109891,M,21,183,80,Australia,2000,Athletics,NA
109912,F,18,165,61,Japan,1992,Swimming,NA
109927,F,26,187,66,Russia,2012,Athletics,Bronze
109943,M,20,178,74,Russia,1980,Athletics,NA
109997,M,28,178,61,USA,1976,Athletics,Silver
110012,F,16,178,63,USA,1972,Swimming,NA
110167,M,22,189,84,Italy,1996,Swimming,NA
110170,M,26,192,85,France,2004,Swimming,NA
110208,M,39,185,109,Russia,2000,Athletics,NA
110213,M,23,190,84,Russia,1980,Athletics,NA
110213,M,23,190,84,Russia,1980,Athletics,Gold
110234,M,25,176,74,Australia,1992,Swimming,NA
110248,M,21,185,72,USA,1960,Athletics,NA
110260,M,33,185,106,Russia,1988,Athletics,Silver
110275,M,28,169,59,Germany,1936,Athletics,NA
110302,F,14,165,64,Germany,1972,Swimming,NA
110305,F,19,163,57,USA,1976,Swimming,NA
110305,F,19,163,57,USA,1976,Swimming,Silver
110334,F,23,172,58,France,2008,Athletics,NA
110719,F,17,171,60,UK,2008,Swimming,NA
110874,M,26,176,72,Canada,1976,Athletics,NA
111296,M,20,183,77,Russia,2012,Swimming,NA
111326,M,20,178,79,Russia,1968,Athletics,NA
111338,M,26,196,88,Canada,2008,Swimming,NA
111397,F,14,160,55,USA,1996,Swimming,NA
111451,M,18,189,76,Germany,1988,Swimming,NA
111581,M,26,178,67,Germany,1984,Athletics,NA
111735,M,28,185,76,Russia,1968,Athletics,NA
111849,M,20,180,78,Russia,2004,Swimming,NA
111850,M,19,187,82,Russia,1964,Athletics,NA
111899,F,26,175,67,UK,1996,Swimming,NA
111938,F,26,178,60,Russia,2008,Athletics,NA
112020,F,35,168,60,Russia,2004,Cycling,NA
112036,M,34,180,72,Russia,1972,Athletics,NA
112055,F,20,180,64,UK,1980,Athletics,NA
112055,F,20,180,64,UK,1980,Athletics,Bronze
112158,M,16,190,73,Russia,1980,Swimming,NA
112192,F,17,161,56,Canada,1976,Swimming,NA
112218,M,23,186,80,USA,1972,Athletics,NA
112233,M,24,171,65,Australia,1980,Athletics,NA
112238,M,20,180,72,USA,1952,Athletics,NA
112257,M,17,172,51,Australia,1960,Cycling,NA
112295,F,17,169,57,USA,1964,Athletics,NA
112304,F,22,174,52,Canada,2012,Athletics,NA
112344,F,18,169,56,Australia,1976,Swimming,NA
112350,M,22,182,70,UK,1980,Swimming,NA
112350,M,22,182,70,UK,1980,Swimming,NA
112358,M,21,195,98,Canada,1988,Athletics,NA
112368,F,26,169,62,UK,1992,Athletics,NA
112368,F,30,169,62,UK,1996,Athletics,NA
112422,F,23,170,60,Canada,1988,Athletics,NA
112485,F,27,170,60,Russia,1980,Athletics,NA
112615,M,28,172,59,France,1992,Athletics,NA
112750,M,26,200,120,Russia,2008,Athletics,NA
112751,F,26,174,67,Russia,1968,Athletics,NA
112793,M,28,178,60,Russia,2008,Athletics,NA
112811,F,26,164,55,Russia,1976,Athletics,Bronze
112815,F,26,170,61,Russia,2012,Athletics,Silver
112828,M,24,186,73,Russia,1992,Athletics,NA
112971,M,19,186,73,Australia,2012,Athletics,NA
113023,M,19,185,74,USA,1960,Swimming,NA
113023,M,19,185,74,USA,1960,Swimming,NA
113040,F,30,170,59,Italy,2000,Athletics,NA
113043,F,28,178,59,USA,1988,Athletics,NA
113102,F,30,178,90,China,2008,Athletics,NA
113194,M,29,170,58,Japan,1992,Athletics,NA
113320,F,18,166,64,Russia,1968,Swimming,NA
113354,F,29,170,60,Russia,2000,Athletics,Bronze
113525,M,21,180,61,USA,1956,Athletics,NA
113653,M,18,178,71,Italy,1960,Swimming,NA
113663,M,20,190,75,Germany,2008,Athletics,NA
113665,M,20,185,86,USA,2008,Swimming,NA
113712,M,27,191,78,USA,2012,Athletics,NA
113713,M,28,180,66,USA,1924,Athletics,NA
113806,M,26,187,74,Germany,1964,Athletics,NA
113855,F,17,180,63,USA,1960,Swimming,Gold
113912,M,18,183,73,USA,1968,Swimming,Gold
113912,M,22,183,73,USA,1972,Swimming,Gold
113912,M,22,183,73,USA,1972,Swimming,Gold
113913,F,40,167,60,Germany,2012,Cycling,Silver
113922,F,20,183,85,UK,2008,Swimming,NA
113955,F,24,161,55,Australia,2012,Cycling,NA
113965,M,26,196,92,Australia,2012,Swimming,Bronze
113969,F,27,163,53,Germany,2004,Athletics,NA
113976,M,24,167,54,USA,1904,Athletics,NA
113976,M,26,167,54,USA,1906,Athletics,NA
114010,M,24,183,72,USA,1956,Athletics,NA
114093,M,30,180,85,Australia,2012,Athletics,NA
114113,M,24,178,76,Germany,1960,Cycling,Silver
114120,M,19,192,76,UK,1984,Swimming,NA
114123,M,26,184,79,Australia,1992,Swimming,NA
114135,M,20,188,79,USA,1988,Swimming,NA
114163,M,23,185,72,Germany,1976,Athletics,NA
114165,M,31,178,92,UK,2004,Cycling,NA
114178,M,21,177,88,USA,2004,Cycling,NA
114182,F,30,176,79,Germany,2016,Athletics,NA
114202,M,25,186,63,UK,1988,Athletics,NA
114253,M,20,191,81,USA,1972,Swimming,Gold
114307,M,24,187,79,USA,1952,Athletics,Gold
114323,M,19,190,84,USA,1948,Athletics,Bronze
114342,F,19,164,50,Russia,1996,Athletics,NA
114363,M,29,191,80,UK,2016,Cycling,NA
114375,M,27,196,82,USA,1988,Athletics,NA
114406,M,22,188,71,Australia,2016,Athletics,NA
114472,M,26,185,82,France,2012,Swimming,NA
114472,M,26,185,82,France,2012,Swimming,NA
114539,F,18,166,58,Russia,1976,Swimming,NA
114701,F,28,180,60,Germany,2012,Swimming,NA
114701,F,28,180,60,Germany,2012,Swimming,NA
114716,F,16,166,70,Germany,1956,Swimming,NA
114717,M,27,176,54,Germany,1968,Athletics,NA
114771,M,18,191,77,Germany,1972,Swimming,NA
114771,M,18,191,77,Germany,1972,Swimming,NA
114771,M,22,191,77,Germany,1976,Swimming,NA
114779,F,17,171,64,Australia,1968,Swimming,NA
114822,M,23,174,64,Germany,1952,Athletics,NA
114880,F,30,160,47,Canada,2012,Athletics,NA
114890,M,22,180,68,USA,2000,Athletics,NA
114921,M,28,186,84,USA,1968,Athletics,NA
114979,M,34,190,104,USA,1996,Athletics,NA
115069,M,28,188,82,Australia,2008,Swimming,NA
115085,M,25,198,108,UK,2000,Swimming,NA
115160,F,20,168,61,UK,1976,Athletics,NA
115161,F,14,154,44,Canada,1960,Swimming,NA
115161,F,18,154,44,Canada,1964,Swimming,NA
115161,F,18,154,44,Canada,1964,Swimming,NA
115274,F,19,178,66,USA,2000,Swimming,Gold
115332,M,22,178,70,Canada,1972,Swimming,NA
115334,M,23,197,95,Australia,2008,Swimming,Silver
115411,M,18,188,80,Germany,1968,Swimming,NA
115427,M,35,185,92,Germany,1972,Athletics,NA
115428,M,21,192,85,Germany,1996,Athletics,NA
115448,F,18,164,58,Germany,1972,Swimming,NA
115467,M,23,176,71,Australia,1988,Athletics,NA
115649,F,40,165,45,Italy,2016,Athletics,NA
115717,M,28,190,86,France,2016,Swimming,NA
115717,M,28,190,86,France,2016,Swimming,NA
115755,M,19,188,75,USA,1968,Swimming,Gold
115768,F,31,172,57,Australia,1956,Athletics,Gold
115770,F,21,167,61,Canada,1976,Athletics,NA
115788,M,33,179,61,Russia,1996,Athletics,NA
115814,M,22,182,78,Germany,1980,Swimming,NA
115884,F,16,182,67,Russia,1980,Swimming,NA
115884,F,16,182,67,Russia,1980,Swimming,NA
115943,F,22,159,52,Germany,1956,Athletics,Silver
115958,F,17,172,56,Russia,1976,Swimming,NA
115985,M,25,186,76,Russia,1976,Athletics,NA
115989,M,19,189,77,Russia,1980,Swimming,Gold
116278,F,25,166,53,Germany,2016,Athletics,NA
116301,M,20,196,93,Russia,2008,Swimming,NA
116358,M,24,178,70,USA,1906,Athletics,NA
116430,M,20,174,68,Japan,1928,Athletics,NA
